1990.03.01,00:00,1.14640,1.16540,1.13480,1.15160,2914
1990.04.01,00:00,1.15140,1.17270,1.14590,1.16520,2186
1990.05.01,00:00,1.16490,1.20250,1.15120,1.15340,3016
1990.06.01,00:00,1.15330,1.17890,1.14770,1.17770,2594
1990.07.01,00:00,1.17910,1.23380,1.17670,1.23200,3025
1990.08.01,00:00,1.23130,1.26970,1.20600,1.24050,4923
1990.09.01,00:00,1.24000,1.26620,1.22500,1.24890,3767
1990.10.01,00:00,1.25170,1.31150,1.25170,1.28830,4233
1990.11.01,00:00,1.28820,1.33390,1.28090,1.30760,3680
1990.12.01,00:00,1.30940,1.33670,1.26390,1.31130,3956
1991.01.01,00:00,1.31000,1.32630,1.24850,1.32380,5463
1991.02.01,00:00,1.32380,1.35490,1.27930,1.28270,3703
1991.03.01,00:00,1.28220,1.28340,1.13580,1.14770,5219
1991.04.01,00:00,1.15140,1.18190,1.09700,1.14610,5712
1991.05.01,00:00,1.14600,1.16230,1.11100,1.12230,4861
1991.06.01,00:00,1.12220,1.12580,1.07310,1.07960,3461
1991.07.01,00:00,1.08100,1.12970,1.06140,1.12230,3872
1991.08.01,00:00,1.12260,1.15100,1.06640,1.11840,4938
1991.09.01,00:00,1.12000,1.17950,1.11840,1.17080,3283
1991.10.01,00:00,1.17120,1.17940,1.13580,1.17230,3419
1991.11.01,00:00,1.17210,1.23900,1.16990,1.20340,4044
1991.12.01,00:00,1.21010,1.30170,1.20920,1.28700,3632
1992.01.01,00:00,1.28400,1.30070,1.19640,1.21280,6579
1992.02.01,00:00,1.21600,1.25620,1.17420,1.18930,4451
1992.03.01,00:00,1.18970,1.19840,1.16140,1.19050,3631
1992.04.01,00:00,1.19000,1.21180,1.16650,1.18700,3498
1992.05.01,00:00,1.18720,1.23210,1.18140,1.21650,3606
1992.06.01,00:00,1.21710,1.29190,1.20690,1.28360,3974
1992.07.01,00:00,1.28360,1.35090,1.27740,1.32460,6080
1992.08.01,00:00,1.32640,1.40140,1.31450,1.39530,4301
1992.09.01,00:00,1.39580,1.41040,1.27830,1.38650,8488
1992.10.01,00:00,1.38640,1.40700,1.26060,1.26800,7393
1992.11.01,00:00,1.26840,1.26960,1.21010,1.23150,5089
1992.12.01,00:00,1.23120,1.26590,1.20460,1.20670,4041
1993.01.01,00:00,1.20280,1.24800,1.18580,1.21250,3679
1993.02.01,00:00,1.21290,1.21560,1.17390,1.18210,4351
1993.03.01,00:00,1.18250,1.21780,1.16880,1.21630,3770
1993.04.01,00:00,1.21590,1.24950,1.20720,1.23440,4370
1993.05.01,00:00,1.23320,1.24660,1.19070,1.23020,3323
1993.06.01,00:00,1.23210,1.23750,1.13860,1.14500,4010
1993.07.01,00:00,1.14530,1.16220,1.12030,1.12270,3354
1993.08.01,00:00,1.12240,1.17750,1.11920,1.16580,3636
1993.09.01,00:00,1.16540,1.23150,1.16490,1.19670,4908
1993.10.01,00:00,1.19680,1.22940,1.15690,1.15940,3596
1993.11.01,00:00,1.15970,1.16340,1.13760,1.14080,3117
1993.12.01,00:00,1.14020,1.15670,1.12390,1.12520,2390
1994.01.01,00:00,1.12480,1.13680,1.11350,1.12900,2302
1994.02.01,00:00,1.12870,1.15070,1.10690,1.14730,2972
1994.03.01,00:00,1.14710,1.17830,1.13380,1.16790,3309
1994.04.01,00:00,1.16770,1.18940,1.13550,1.18250,2756
1994.05.01,00:00,1.18210,1.19810,1.16340,1.18810,3199
1994.06.01,00:00,1.18790,1.24360,1.16750,1.23250,3347
1994.07.01,00:00,1.23240,1.28940,1.21840,1.24360,4492
1994.08.01,00:00,1.24450,1.28130,1.22780,1.23690,3935
1994.09.01,00:00,1.23670,1.27690,1.23540,1.26120,3420
1994.10.01,00:00,1.26080,1.31610,1.25310,1.30170,3293
1994.11.01,00:00,1.30150,1.31170,1.24340,1.24680,3082
1994.12.01,00:00,1.24670,1.26920,1.23510,1.26220,2449
1995.01.01,00:00,1.26260,1.30280,1.24960,1.28340,3448
1995.02.01,00:00,1.28250,1.34600,1.27180,1.34010,3180
1995.03.01,00:00,1.33970,1.45350,1.33190,1.42890,8666
1995.04.01,00:00,1.42890,1.45200,1.37880,1.40860,6720
1995.05.01,00:00,1.40870,1.43580,1.33800,1.38140,6344
1995.06.01,00:00,1.38220,1.42040,1.36090,1.41520,5467
1995.07.01,00:00,1.41500,1.42490,1.38360,1.41020,3563
1995.08.01,00:00,1.41030,1.42470,1.30720,1.33250,5347
1995.09.01,00:00,1.33290,1.38860,1.30000,1.36960,5109
1995.10.01,00:00,1.36870,1.41600,1.35480,1.38750,4823
1995.11.01,00:00,1.38760,1.39930,1.34850,1.35290,3978
1995.12.01,00:00,1.35260,1.37030,1.34520,1.36030,3435
1996.01.01,00:00,1.36170,1.36690,1.30880,1.31510,3557
1996.02.01,00:00,1.31420,1.35660,1.30840,1.32800,3332
1996.03.01,00:00,1.32780,1.33390,1.31080,1.32240,2800
1996.04.01,00:00,1.32260,1.32690,1.27370,1.27690,2736
1996.05.01,00:00,1.27680,1.29200,1.26170,1.28390,2443
1996.06.01,00:00,1.28390,1.29490,1.26570,1.28090,2673
1996.07.01,00:00,1.28090,1.33530,1.25960,1.32890,3666
1996.08.01,00:00,1.32880,1.33050,1.30720,1.31890,2424
1996.09.01,00:00,1.31890,1.32270,1.27910,1.28370,2612
1996.10.01,00:00,1.28370,1.29930,1.26580,1.28870,2487
1996.11.01,00:00,1.28860,1.31380,1.27030,1.27040,3282
1996.12.01,00:00,1.27170,1.28270,1.24240,1.26870,3731
1997.01.01,00:00,1.26730,1.27150,1.18050,1.19480,4407
1997.02.01,00:00,1.19240,1.19510,1.14560,1.15720,3274
1997.03.01,00:00,1.15500,1.17680,1.13640,1.16820,3043
1997.04.01,00:00,1.16820,1.17620,1.12440,1.13040,2897
1997.05.01,00:00,1.13020,1.17280,1.12730,1.14540,3867
1997.06.01,00:00,1.14560,1.14890,1.11990,1.12130,2806
1997.07.01,00:00,1.12100,1.12440,1.05770,1.06380,3450
